x,y
0.032587,0.027228
0.016382,0.017582
0.0096343,0.030408
0.0082671,0.056474
0.062442,-0.039726
0.10464,-0.014413
-0.048335,0.059306
-0.014368,-0.048421
-0.10487,-0.026837
-0.10043,0.054457
0.06611,0.031745
0.0015442,0.018941
0.049563,0.077968
-0.033701,0.085298
0.062754,0.046192
0.060309,0.10453
-0.08293,-0.0011991
-0.13602,-0.0020111
0.044931,0.033323
0.034793,0.056318
0.038224,0.08685
0.047675,0.022871
0.029336,-0.014733
-0.0052752,-0.048246
0.049114,-0.051151
0.013244,-0.050449
-0.021745,-0.11564
0.091605,0.026564
-0.067595,-0.044264
-0.011847,-0.1104
-0.06415,-0.043074
0.027728,-0.0091877
-0.026597,-0.067341
0.093128,0.046374
0.05121,0.015156
0.097619,0.021148
0.064785,0.026754
0.065258,0.0041199
0.070389,-0.02381
0.07007,-0.071888
-0.001404,-0.079589
0.067118,-0.058112
0.046018,-0.078385
0.017879,-0.094565
-0.013013,-0.077932
-0.04073,-0.046168
-0.066408,-0.013714
-0.054675,0.044848
-0.08896,0.02025
-0.081868,0.029745
-0.006681,0.08907
-0.038148,0.033612
-0.03536,-0.10236
-0.025146,0.05029
-0.081149,0.054042
0.063356,0.030601
0.025145,0.088608
0.0097112,0.028733
0.034669,0.067442
0.059018,0.091755
0.025872,0.040552
-0.007275,-0.010651
0.0078377,0.014635
0.02295,0.039921
0.04584,0.074015
-0.023624,0.054484
-0.045809,0.081803
0.060914,-0.00102
0.07432,-0.0058863
0.080248,-0.025132
0.078978,-0.072933
0.0075072,-0.0012323
0.015365,-0.051463
-0.012656,0.06147
0.060143,0.082273
-0.01494,-0.054621
-0.036808,-0.11972
0.030651,0.0056719
0.085594,-0.006235
0.05276,-0.030942
0.10193,-0.047352
-0.0022756,-0.017614
0.0073896,-0.055213
0.013293,-0.08475
0.050202,0.020585
0.048008,0.035615
0.054483,0.086681
-0.026012,0.019843
-0.042459,0.082529
-0.023342,-0.062064
0.0030626,-0.036595
-0.042546,-0.039271
0.0012221,0.049181
-0.038639,0.050739
-0.030666,0.013127
-0.017218,0.047833
-0.0063075,0.075826
0.023063,0.037588
0.036103,0.03884
0.060904,0.02775
-0.05624,0.022626
-0.076733,-0.0078517
-0.0027387,-0.017335
0.036853,-0.057611
0.088318,-0.099911
0.032233,0.002494
0.068888,-0.012714
0.10327,-0.020372
-0.020712,-0.0095063
-0.013182,-0.000231
-0.0044981,0.022785
0.0050929,0.04319
-0.0044184,0.060339
0.035598,-0.051287
0.0037449,-0.03743
-0.031641,-0.027782
-0.067244,-0.0072833
-0.10766,0.019818
-0.059204,-0.016943
-0.03117,0.10776
0.082845,-0.02381
-0.040473,0.018549
-0.0055621,0.043955
0.028378,0.061834
0.067846,0.080014
0.060624,-0.050404
0.083718,-0.026548
-0.04079,-0.0011172
-0.077466,0.023077
0.0021886,0.063644
0.023633,0.068546
0.0079419,-0.0042648
0.015013,0.040863
-0.00047388,0.088782
0.0050089,0.070721
-0.049887,0.088856
-0.036979,-0.0021823
-0.041769,-0.052303
-0.049939,-0.10048
-0.010145,0.015085
-0.034633,-0.012129
0.052099,0.0025696
0.067007,-0.025725
0.095011,-0.046592
-0.020969,-0.052474
0.03342,-0.07205
0.0070254,-0.037938
-0.037061,-0.082189
0.07318,-0.04581
0.13891,-0.0029076
-0.03679,-0.048152
-0.029752,-0.12103
0.13758,-0.024413
0.11506,-0.0055266
-0.044886,0.046446
0.089714,-0.019887
0.010508,-0.016671
0.0062139,0.0029968
-0.0080394,0.015074
-0.036431,0.010266
-0.060363,0.0041714
0.030585,0.040439
0.018379,0.028666
0.0031856,0.01913
-0.024576,0.011225
-0.049947,-0.0056619
-0.079364,-0.015167
-0.0293,0.039037
